cluster_kmeans,municipios,eficiencia_media,risco_composto_medio,exposicao_media,saneamento_resiliente_medio,gestao_risco_media,governanca_investimento_medio
1,250,0.9067674893276099,0.46644,0.244,93.37198666666666,8.432,28.17947677501225
2,53,0.7955639150977168,0.5113207547169811,74.11320754716981,82.0974213836478,49.81132075471698,41.137912862528545
3,201,0.9046258559457897,0.39151741293532344,0.945273631840796,91.93582089552238,31.442786069651742,45.50336549589878
4,141,0.5775580329017138,0.43106382978723407,5.425531914893617,66.78494089834516,15.74468085106383,29.862149138178157
