ranking_dea,cod_ibge,Município,UF,População_2022,eficiencia_dea,phi_expansao_outputs,eficiente,benchmarks_sugeridos,tipo_benchmark,risco_inundacao,risco_deslizamento,exposicao_domicilios_risco,saneamento_resiliente,gestao_risco,governanca_investimento_adaptativo,agua,esgoto,tratamento_esgoto,infraestrutura,politica_ambiental,risco_composto,grupo_prioridade,cluster_kmeans,classe_inundacao,classe_deslizamento,risco_percentil,ineficiencia_percentil,indice_prioridade,eficiencia_pred_rf
513,3510906,Cássia dos Coqueiros,SP,2799,0.697718746774691,1.4332422693565985,False,Jales; Embaúba; Pirangi,similaridade,0.47,0.38,0.0,78.23,20,48.4431531203277,69.45,65.24,100.0,36.8863062406554,60,0.425,baixo risco/baixa eficiência,3,Médio,Baixo,0.4697674418604651,0.7953488372093023,0.37362898864250943,0.721062039692574
514,3555505,Ubirajara,SP,5132,0.6956659719590756,1.4374714881969641,False,Icém; Itapura; Paranapuã,similaridade,0.42,0.35,0.0,78.36666666666667,4,20.0,70.56,64.54,100.0,0.0,40,0.385,baixo risco/baixa eficiência,4,Médio,Baixo,0.3558139534883721,0.7968992248062016,0.2835478637101136,0.6936829976617669
515,3521804,Itaí,SP,25180,0.6934228648650439,1.4421214682538959,False,Guariba; Santa Ernestina; Embaúba,similaridade,0.33,0.22,0.0,78.17666666666666,28,30.0,70.6,63.93,100.0,0.0,60,0.275,baixo risco/baixa eficiência,4,Baixo,Baixo,0.14883720930232558,0.7984496124031008,0.11883901207860104,0.698727641304154
516,3525508,Joanópolis,SP,12815,0.6922896930655551,1.4444819993951676,False,Dumont; Santópolis do Aguapeí; Leme,similaridade,0.71,0.68,0.0,78.12666666666667,4,20.0,71.06,63.73,99.59,0.0,40,0.6950000000000001,alto risco/baixa eficiência,4,Alto,Alto,0.9573643410852714,0.8,0.7658914728682171,0.6876129542872106
517,3552106,Socorro,SP,40122,0.6899012325432895,1.4494828430926925,False,Ilhabela; Paulistânia; Embaúba,similaridade,0.35,0.3,0.0,71.53666666666668,28,50.0,61.05,54.07,99.49,0.0,100,0.32499999999999996,baixo risco/baixa eficiência,4,Baixo,Baixo,0.2255813953488372,0.8015503875968992,0.1808148548765098,0.6991207018675679
518,3511003,Castilho,SP,19977,0.6898043766578248,1.449686365930448,False,Paulo de Faria; Terra Roxa; Auriflama,similaridade,0.58,0.46,0.0,77.95,8,22.890816800894576,66.21,67.64,100.0,5.78163360178915,40,0.52,alto risco/baixa eficiência,4,Médio,Médio,0.7077519379844961,0.8031007751937984,0.5683961300402619,0.6797738996593508
519,3550605,São Roque,SP,79484,0.689523020083365,1.4502779035268434,False,Pirangi; Embaúba; Pompéia,similaridade,0.42,0.43,0.0,77.92999999999999,24,42.66339158950132,82.3,51.49,100.0,5.32678317900265,80,0.425,baixo risco/baixa eficiência,4,Médio,Médio,0.4697674418604651,0.8046511627906977,0.3779989183342347,0.7190416483959499
520,3515103,Embu-Guaçu,SP,66970,0.6890071996968549,1.45136364386319,False,Pompéia; Leme; Pontal,similaridade,0.61,0.58,64.0,77.89333333333333,28,41.11998844090412,90.26,43.42,100.0,2.23997688180824,80,0.595,alto risco/baixa eficiência,2,Alto,Médio,0.8263565891472868,0.8062015503875969,0.6662099633435491,0.7295855631310018
521,3554508,Tietê,SP,37663,0.6880224516862449,1.4534409415697738,False,Pompéia; Pontal; Terra Roxa,similaridade,0.53,0.47,0.0,77.82333333333334,28,31.552248369790554,90.44,83.19,59.84,3.10449673958111,60,0.5,alto risco/baixa eficiência,4,Médio,Médio,0.6635658914728683,0.8077519379844961,0.5359966348176192,0.7132358380540473
522,3552551,Suzanápolis,SP,3365,0.6879755589238346,1.4535400088402115,False,Santa Ernestina; Marapoama; Itapura,similaridade,0.39,0.29,0.0,77.82000000000001,8,31.80355819125278,66.73,66.73,100.0,3.60711638250556,60,0.33999999999999997,baixo risco/baixa eficiência,4,Baixo,Baixo,0.25503875968992246,0.8093023255813954,0.20640346133044887,0.6807467428070799
523,3521002,Iperó,SP,36459,0.6875265327916164,1.45448932121881,False,Ituverava; Guariba; Santa Ernestina,similaridade,0.34,0.32,0.0,77.69333333333334,48,20.72930356447337,75.06,58.02,100.0,1.45860712894674,40,0.33,baixo risco/baixa eficiência,4,Baixo,Baixo,0.2364341085271318,0.8108527131782945,0.19171323838711615,0.7122717342935615
524,3535804,Paranapanema,SP,19395,0.6855920630222841,1.4585933150855286,False,Águas de São Pedro; Paulistânia; Guariba,similaridade,0.2,0.04,0.0,76.21,12,40.0,71.86,56.77,100.0,0.0,80,0.12000000000000001,baixo risco/baixa eficiência,4,Baixo,Muito baixo,0.02635658914728682,0.8124031007751938,0.021412174749113635,0.6907538567445679
525,3510153,Canitar,SP,6283,0.6831924971580144,1.463716308595104,False,Paulo de Faria; Terra Roxa; Auriflama,similaridade,0.51,0.44,0.0,77.48,0,22.02599540149012,91.21,91.21,50.02,4.05199080298024,40,0.475,alto risco/baixa eficiência,4,Médio,Médio,0.6093023255813953,0.813953488372093,0.49594375338020547,0.6389171652714203
526,3518503,Guareí,SP,15013,0.6825359984842745,1.4651241871794691,False,Nova Europa; Santópolis do Aguapeí; Auriflama,similaridade,0.67,0.54,0.0,77.43333333333334,12,30.04541970825847,84.09,48.21,100.0,0.0908394165169427,60,0.605,alto risco/baixa eficiência,4,Alto,Médio,0.8496124031007752,0.8155038759689922,0.6928622078000121,0.7112224975322686
527,3500550,Águas de Santa Bárbara,SP,7177,0.6809321302812618,1.4685751421172415,False,Águas de São Pedro; Paulistânia; Marapoama,similaridade,0.05,0.0,0.0,73.08999999999999,4,40.17347438780765,71.05,48.22,100.0,20.3469487756153,60,0.025,baixo risco/baixa eficiência,4,Muito baixo,Muito baixo,0.010852713178294573,0.8170542635658915,0.008867255573583319,0.6527657301063869
528,3510401,Capivari,SP,50068,0.6780489478836204,1.4748197797832716,False,Paulistânia; Águas de São Pedro; Guariba,similaridade,0.32,0.0,0.0,73.19,44,40.0,94.5,90.72,34.35,0.0,80,0.16,baixo risco/baixa eficiência,4,Baixo,Muito baixo,0.04263565891472868,0.8186046511627907,0.0349017486929872,0.6497656682212687
529,3550803,São Sebastião da Grama,SP,10441,0.6767681887078437,1.477610822561421,False,Auriflama; Santópolis do Aguapeí; Motuca,similaridade,0.47,0.6,0.0,77.02333333333333,4,33.55670867309118,65.88,65.88,99.31,7.11341734618236,60,0.5349999999999999,alto risco/baixa eficiência,4,Médio,Alto,0.7286821705426356,0.8201550387596899,0.5976323538248902,0.6722442178446462
530,3548609,São Bento do Sapucaí,SP,11684,0.6651906566143875,1.503328391727099,False,Lins; Ituverava; Paulínia,similaridade,0.47,0.61,0.0,70.87,56,40.0,65.92,46.69,100.0,0.0,80,0.54,alto risco/baixa eficiência,4,Médio,Alto,0.748062015503876,0.8217054263565892,0.6146866173907818,0.6426622712463474
531,3540507,Porangaba,SP,10451,0.6648303729542782,1.5041430727003986,False,Paulistânia; Águas de São Pedro; Guariba,similaridade,0.24,0.16,30.0,74.25666666666666,12,43.963123971303304,89.83,32.94,100.0,27.9262479426066,60,0.2,baixo risco/baixa eficiência,4,Baixo,Muito baixo,0.06666666666666667,0.8232558139534883,0.054883720930232555,0.7220730886729132
532,3505005,Barão de Antonina,SP,3531,0.6610591133004926,1.5127240210141957,False,Itapura; Paranapuã; Icém,similaridade,0.33,0.24,0.0,75.90666666666667,8,20.0,74.82,52.9,100.0,0.0,40,0.28500000000000003,baixo risco/baixa eficiência,4,Baixo,Baixo,0.1635658914728682,0.8248062015503876,0.13491016164893938,0.6740093018169915
533,3538600,Piracaia,SP,26029,0.6593709738537328,1.516596938071812,False,Leme; São Simão; Santópolis do Aguapeí,similaridade,0.63,0.69,0.0,75.78666666666668,20,30.0,72.31,56.06,98.99,0.0,60,0.6599999999999999,alto risco/baixa eficiência,4,Alto,Alto,0.8968992248062015,0.8263565891472868,0.7411585842196984,0.6664018845613982
534,3513009,Cotia,SP,273640,0.6578624978913035,1.5200744885221087,False,Leme; Pompéia; São Simão,similaridade,0.65,0.7,0.0,73.11,40,42.92633589224913,98.76,66.49,54.08,5.85267178449825,80,0.675,alto risco/baixa eficiência,4,Alto,Alto,0.9263565891472868,0.827906976744186,0.7669370831079863,0.7097047019039543
535,3530003,Mira Estrela,SP,3126,0.6573076923076925,1.5213575190169686,False,Águas de São Pedro; Itapura; Marapoama,similaridade,0.23,0.17,0.0,75.64,4,30.57576861705469,65.63,61.29,100.0,1.15153723410938,60,0.2,baixo risco/baixa eficiência,4,Baixo,Muito baixo,0.06666666666666667,0.8294573643410853,0.05529715762273902,0.6562878789774274
536,3503109,Arandu,SP,6885,0.6563614181001385,1.523550855403012,False,Águas de São Pedro; Paulistânia; Marapoama,similaridade,0.16,0.07,0.0,74.31333333333333,4,39.189870714025446,61.6,61.34,100.0,18.3797414280509,60,0.115,baixo risco/baixa eficiência,4,Muito baixo,Muito baixo,0.024031007751937984,0.8310077519379845,0.019969953728742263,0.6583061290859589
537,3530201,Mirante do Paranapanema,SP,15917,0.6545879120879121,1.527678683846057,False,Nova Europa; Santópolis do Aguapeí; Auriflama,similaridade,0.7,0.5,0.0,75.44666666666667,8,32.89620685755927,70.02,56.32,100.0,5.79241371511854,60,0.6,alto risco/baixa eficiência,4,Alto,Médio,0.8372093023255814,0.8325581395348837,0.697025419145484,0.6608464206591639
