grupo_prioridade,municipios,eficiencia_media,risco_composto_medio,risco_inundacao_medio,risco_deslizamento_medio,exposicao_media,saneamento_resiliente_medio,gestao_risco_media,governanca_investimento_medio,prioridade_media
alto risco/alta eficiência,162,0.9460921688593433,0.5486419753086419,0.5834567901234567,0.5138271604938272,3.2839506172839505,95.90572016460906,18.864197530864196,35.420733484507444,0.1787951927449754
alto risco/baixa eficiência,161,0.6886674366171431,0.5799689440993789,0.6003105590062112,0.5596273291925465,16.273291925465838,75.61105590062111,22.13664596273292,32.487909967659974,0.5961664018489095
baixo risco/alta eficiência,161,0.9439004492407055,0.32875776397515527,0.3496894409937888,0.30782608695652175,6.521739130434782,95.33455486542442,22.285714285714285,37.433191555179896,0.06747802049939515
baixo risco/baixa eficiência,161,0.7205706741490658,0.2981366459627329,0.32844720496894414,0.2678260869565217,4.608695652173913,77.83209109730849,19.130434782608695,34.698521111543016,0.16458936824822026
